Date,Open,High,Low,Close,Adj Close,Volume
"Dec 20, 2025",2977.87,2992.31,2967.84,2977.58,2977.58,7612418215
"Dec 19, 2025",2827.41,3014.61,2811.39,2977.97,2977.97,27870687989
"Dec 18, 2025",2831.49,2994.55,2777.12,2827.07,2827.07,29194181349
"Dec 17, 2025",2964.02,3025.82,2791.33,2831.4,2831.4,26159825528
"Dec 16, 2025",2964.38,2978.92,2890.01,2964.18,2964.18,22709189818
"Dec 15, 2025",3060.48,3175.12,2899.69,2964.18,2964.18,28765976892
"Dec 14, 2025",3116.74,3128.62,3034.69,3060.59,3060.59,15619543350
"Dec 13, 2025",3084.13,3134.85,3080.08,3116.7,3116.7,9916869400
"Dec 12, 2025",3237.03,3265.37,3050.27,3084.17,3084.17,24391003174
"Dec 11, 2025",3324.39,3327.34,3149.03,3237.06,3237.06,29066243707
"Dec 10, 2025",3321.2,3446.62,3290.15,3325.39,3325.39,30694387989
"Dec 9, 2025",3124.94,3395.84,3092.88,3321.11,3321.11,32012553374
"Dec 8, 2025",3061.01,3177.87,3043.7,3125.2,3125.2,25262165670
"Dec 7, 2025",3040.18,3148.77,2930.65,3061.3,3061.3,20383496376
"Dec 6, 2025",3024.49,3067.66,3013.98,3040.21,3040.21,10962819760
"Dec 5, 2025",3134.36,3192.46,2989.83,3024.43,3024.43,28000268228
"Dec 4, 2025",3188.34,3238.56,3071.31,3134.32,3134.32,27434991113
"Dec 3, 2025",2997.8,3212.56,2988.14,3191.57,3191.57,29949301036
"Dec 2, 2025",2800.22,3032.76,2784.39,2997.94,2997.94,26593645111
"Dec 1, 2025",2991.92,2996.88,2720.44,2800.19,2800.19,36679598313
"Nov 30, 2025",2991.38,3051.6,2978.83,2992.11,2992.11,11530446514
"Nov 29, 2025",3032.3,3051.96,2966.85,2991.69,2991.69,12775481230
"Nov 28, 2025",3014.54,3095.03,2995.77,3032.3,3032.3,20659958964
"Nov 27, 2025",3027.8,3070.73,2987.2,3014.54,3014.54,16972780500
"Nov 26, 2025",2958.33,3043.93,2889.89,3027.81,3027.81,21433162961
"Nov 25, 2025",2952.58,2978.7,2857.84,2957.94,2957.94,23336017779
"Nov 24, 2025",2801.2,2982.82,2763.38,2952.71,2952.71,32491657389
"Nov 23, 2025",2767.59,2856.45,2767.47,2801.68,2801.68,20358404499
"Nov 22, 2025",2766.09,2795.43,2704.5,2767.61,2767.61,15408928941
"Nov 21, 2025",2829.26,2880.6,2626.87,2765.7,2765.7,51476486049
"Nov 20, 2025",3022.89,3057.79,2790.6,2831.78,2831.78,43917885207
"Nov 19, 2025",3122.65,3122.65,2871.23,3023.07,3023.07,40229739844
"Nov 18, 2025",3024.41,3167.93,2948.33,3122.98,3122.98,41581494270
"Nov 17, 2025",3092.94,3218.13,2957.31,3024.54,3024.54,41026793235
