Date,Close
2014-10-21,264.0
2014-10-30,264.0
2014-11-05,280.6
2014-11-07,279.0
2014-11-10,278.5
2014-11-11,279.5
2014-11-12,279.5
2014-11-13,265.0
2014-11-14,281.0
2014-11-18,282.0
2014-11-19,285.45
2014-11-20,281.5
2014-11-21,283.0
2014-11-26,284.5
2014-12-01,287.0
2014-12-05,280.0
2014-12-08,271.0
2014-12-18,271.5
2014-12-19,274.15
2014-12-22,280.0
2014-12-23,277.0
2014-12-29,275.0
2014-12-30,274.5
2014-12-31,275.0
2015-01-02,280.0
2015-01-06,273.1
2015-01-07,271.0
2015-01-08,272.5
2015-01-09,275.0
2015-01-12,276.0
2015-01-13,277.0
2015-01-14,273.75
2015-01-15,281.0
2015-01-16,278.5
2015-01-20,280.0
2015-01-22,252.0
2015-01-27,230.0
2015-02-02,250.0
2015-02-04,270.0
2015-02-06,295.0
2015-02-12,285.0
2015-02-13,288.9
2015-02-18,291.3
2015-02-19,291.05
2015-02-20,293.0
2015-03-13,284.25
2015-03-31,281.25
2015-04-09,286.0
2015-05-06,268.0
2015-05-08,273.85
2015-05-13,272.85
2015-05-15,275.55
2015-06-12,266.4
2015-06-16,261.65
2015-07-15,279.85
2015-07-22,290.0
2015-07-28,281.1
2015-07-29,281.0
2015-08-05,284.25
2015-08-10,289.5
2015-08-11,284.75
2015-08-12,281.8
2015-08-25,261.0
2015-08-31,261.0
2015-09-02,260.75
2015-09-21,264.35
2015-09-22,262.85
2015-09-23,259.9
2015-09-28,260.0
2015-09-29,260.3
2015-10-06,270.9
2015-10-09,271.85
2015-10-13,270.45
2015-11-05,267.35
2015-11-16,261.8
2015-11-18,259.65
2015-11-20,262.8
2015-12-01,267.53
2015-12-24,260.8
2015-12-28,262.24
2015-12-31,264.8
2016-01-06,259.07
2016-01-18,247.5
2016-02-16,239.35
2016-02-24,239.45
2016-02-25,239.35
2016-03-03,247.3
2016-03-21,255.0
2016-03-22,255.75
2016-03-23,257.75
2016-04-12,253.0
2016-04-18,262.49
2016-04-21,263.0
2016-04-22,263.35
2016-04-26,260.79
2016-04-28,263.0
2016-05-06,254.0
2016-05-09,264.5
2016-05-11,260.0
2016-05-31,270.45
2016-06-01,270.01
2016-06-15,271.2
2016-06-20,273.25
2016-07-01,277.2
2016-07-04,305.0
2016-07-05,277.15
2016-07-07,277.9
2016-07-08,279.55
2016-07-11,281.5
2016-07-12,285.1
